sentence,label
Can you make delivery on this pin code?,CHECK_PINCODE
Can you deliver on my pincode,CHECK_PINCODE
Do you deliver to,CHECK_PINCODE
Can you please deliver on my pincode,CHECK_PINCODE
Need a delivery on this pincode,CHECK_PINCODE
Can I get delivery on this pincode,CHECK_PINCODE
Do you have any showrooms in Delhi state,DISTRIBUTORS
Do you have any distributors in Mumbai city,DISTRIBUTORS
Do you have any retailers in Pune city,DISTRIBUTORS
 Where can I see the product before I buy,DISTRIBUTORS
What is the price for size (x ft x y ft)? What is the price for size (x inches x y inches)?,DISTRIBUTORS
Distributors ,DISTRIBUTORS
Distributors/Retailers/Showrooms,DISTRIBUTORS
Where is your showroom,DISTRIBUTORS
Do you have a showroom,DISTRIBUTORS
Can I visit SOF mattress showroom,DISTRIBUTORS
Where is your showroom,DISTRIBUTORS
Nearby Show room,DISTRIBUTORS
Do you have Showroom,DISTRIBUTORS
Need store,DISTRIBUTORS
Need Nearby Store,DISTRIBUTORS
Nearest shop,DISTRIBUTORS
Demo store,DISTRIBUTORS
Is there any offline stores ,DISTRIBUTORS
Head office,DISTRIBUTORS
Shops nearby,DISTRIBUTORS
Where was this shop,DISTRIBUTORS
Offline stores,DISTRIBUTORS
Do you have store,DISTRIBUTORS
Where is the shop ,DISTRIBUTORS
Is it available in shops,DISTRIBUTORS
You have any branch,DISTRIBUTORS
Store in,DISTRIBUTORS
We want dealer ship,DISTRIBUTORS
Any shop that I can visit,DISTRIBUTORS
Dealership,DISTRIBUTORS
Shop near by,DISTRIBUTORS
Need dealership,DISTRIBUTORS
Outlet,DISTRIBUTORS
Store near me,DISTRIBUTORS
Price of mattress,MATTRESS_COST
Mattress cost,MATTRESS_COST
Cost of mattress,MATTRESS_COST
How much does a SOF mattress cost,MATTRESS_COST
Cost,MATTRESS_COST
Custom size cost,MATTRESS_COST
What does the mattress cost,MATTRESS_COST
I need price,MATTRESS_COST
Price Range,MATTRESS_COST
Mattress price,MATTRESS_COST
Price of Mattress,MATTRESS_COST
Want to know the price,MATTRESS_COST
How Much Cost,MATTRESS_COST
Price,MATTRESS_COST
Rate,MATTRESS_COST
MRP,MATTRESS_COST
Low price,MATTRESS_COST
What will be the price,MATTRESS_COST
Cost of Bed,MATTRESS_COST
Cost of Mattress,MATTRESS_COST
Mattress cost,MATTRESS_COST
What is the cost,MATTRESS_COST
What are the product variants,PRODUCT_VARIANTS
Product Variants,PRODUCT_VARIANTS
Help me with different products,PRODUCT_VARIANTS
What are the mattress variants,PRODUCT_VARIANTS
I want to check products,PRODUCT_VARIANTS
What are the SOF mattress products,PRODUCT_VARIANTS
Show me products,PRODUCT_VARIANTS
Which product is best,PRODUCT_VARIANTS
 Which mattress is best,PRODUCT_VARIANTS
I want to buy a mattress,PRODUCT_VARIANTS
Products,PRODUCT_VARIANTS
View products,PRODUCT_VARIANTS
Type of foam used,PRODUCT_VARIANTS
Mattress variants,PRODUCT_VARIANTS
Mattress Features,PRODUCT_VARIANTS
I am looking the mattress,PRODUCT_VARIANTS
Type of mattress,PRODUCT_VARIANTS
Show more mattress,PRODUCT_VARIANTS
What are the mattress features,PRODUCT_VARIANTS
What are your products,PRODUCT_VARIANTS
Tell me about SOF mattress features,PRODUCT_VARIANTS
How is SOF different from other mattress brands,ABOUT_SOF_MATTRESS
Why SOF mattress,ABOUT_SOF_MATTRESS
About SOF Mattress,ABOUT_SOF_MATTRESS
What is SOF mattress,ABOUT_SOF_MATTRESS
Tell me about SOF mattresses,ABOUT_SOF_MATTRESS
Who are SOF mattress,ABOUT_SOF_MATTRESS
What is SOF,ABOUT_SOF_MATTRESS
How is SOF mattress different from,ABOUT_SOF_MATTRESS
Tell me about SOF Mattress,ABOUT_SOF_MATTRESS
Tell me about company,ABOUT_SOF_MATTRESS
 Who is SOF mattress,ABOUT_SOF_MATTRESS
It's been a month,DELAY_IN_DELIVERY
Why so long?,DELAY_IN_DELIVERY
I did not receive my order yet,DELAY_IN_DELIVERY
Why so many days,DELAY_IN_DELIVERY
It's delayed,DELAY_IN_DELIVERY
Almost 1 month over,DELAY_IN_DELIVERY
 It's been 30 days my product haven't received,DELAY_IN_DELIVERY
It's been so many days,DELAY_IN_DELIVERY
It's already one month,DELAY_IN_DELIVERY
Delivery is delayed,DELAY_IN_DELIVERY
It's too late to get delivered,DELAY_IN_DELIVERY
Order Status,ORDER_STATUS
What is my order status?,ORDER_STATUS
Order related,ORDER_STATUS
Status of my order,ORDER_STATUS
What about my order,ORDER_STATUS
My order Number,ORDER_STATUS
Where is my order,ORDER_STATUS
Order #,ORDER_STATUS
Track order,ORDER_STATUS
I want updates of my order,ORDER_STATUS
 I need my order status,ORDER_STATUS
Status of my order,ORDER_STATUS
State of this order,ORDER_STATUS
Order status,ORDER_STATUS
Present status,ORDER_STATUS
What is the status?,ORDER_STATUS
Current state of my order,ORDER_STATUS
What is the order status?,ORDER_STATUS
Where is my product,ORDER_STATUS
When will the order be delivered to me?,ORDER_STATUS
When can we expect,ORDER_STATUS
Need my money back,RETURN_EXCHANGE
I want refund,RETURN_EXCHANGE
Refund,RETURN_EXCHANGE
Not happy with the product please help me to return,RETURN_EXCHANGE
Help me with exchange process,RETURN_EXCHANGE
How do I return it,RETURN_EXCHANGE
I want to return my mattress,RETURN_EXCHANGE
Exchange,RETURN_EXCHANGE
Looking to exchange,RETURN_EXCHANGE
How can I replace the mattress.,RETURN_EXCHANGE
How do I return It,RETURN_EXCHANGE
Return,RETURN_EXCHANGE
Return my product,RETURN_EXCHANGE
Replacement policy,RETURN_EXCHANGE
I want to cancel my order,CANCEL_ORDER
How can I cancel my order,CANCEL_ORDER
Cancel order,CANCEL_ORDER
Cancellation status,CANCEL_ORDER
I want cancel my order,CANCEL_ORDER
Cancel the order,CANCEL_ORDER
Cancel my order,CANCEL_ORDER
Need to cancel my order,CANCEL_ORDER
Process of cancelling order,CANCEL_ORDER
Can I cancel my order here,CANCEL_ORDER
Can I get pillows?,PILLOWS
Do you sell pillows?,PILLOWS
Pillows,PILLOWS
I want to buy pillows,PILLOWS
Are Pillows available,PILLOWS
Need pair of Pillows,PILLOWS
Can I buy pillows from here,PILLOWS
Do you have cushions,PILLOWS
Can I also have pillows,PILLOWS
Is pillows available,PILLOWS
Offers,OFFERS
What are the available offers,OFFERS
Give me some discount,OFFERS
Any discounts,OFFERS
Discount,OFFERS
May I please know about the offers,OFFERS
Available offers,OFFERS
Is offer available,OFFERS
Want to know the discount ,OFFERS
Tell me about the latest offers,OFFERS
