sentence,label,answer
Check Deposit Status ,CHECK_DEPOSIT_STATUS,Here you will find your *DEPOSIT_STATUS*
My deposit statement,CHECK_DEPOSIT_STATUS,Here you will find your *DEPOSIT_STATUS*
What are my deposit status,CHECK_DEPOSIT_STATUS,Here you will find your *DEPOSIT_STATUS*
Track deposit status,CHECK_DEPOSIT_STATUS,Here you will find your *DEPOSIT_STATUS*
Show my deposit status,CHECK_DEPOSIT_STATUS,Here you will find your *DEPOSIT_STATUS*
Deposit Status ,CHECK_DEPOSIT_STATUS,Here you will find your *DEPOSIT_STATUS*
Recent deposit status,CHECK_DEPOSIT_STATUS,Here you will find your *DEPOSIT_STATUS*
 Show my deposit statement ,CHECK_DEPOSIT_STATUS,Here you will find your *DEPOSIT_STATUS*
" I was bored, let me check my deposit transaction",CHECK_DEPOSIT_STATUS,Here you will find your *DEPOSIT_STATUS*
Transaction,CHECK_DEPOSIT_STATUS,Here you will find your *DEPOSIT_STATUS*
Transaction status,CHECK_DEPOSIT_STATUS,Here you will find your *DEPOSIT_STATUS*
Show my deposit status,CHECK_DEPOSIT_STATUS,Here you will find your *DEPOSIT_STATUS*
Show my transaction,CHECK_DEPOSIT_STATUS,Here you will find your *DEPOSIT_STATUS*
Show me the status of deposit,CHECK_DEPOSIT_STATUS,Here you will find your *DEPOSIT_STATUS*
 My status was not updated can you show me the deposit status now ,CHECK_DEPOSIT_STATUS,Here you will find your *DEPOSIT_STATUS*
I don't remember some time ago once I signed up this app I have deposited some money but i didn't palyed it show how much money I have deposited,CHECK_DEPOSIT_STATUS,Here you will find your *DEPOSIT_STATUS*
Deposit,CHECK_DEPOSIT_STATUS,Here you will find your *DEPOSIT_STATUS*
How to join a Contest?,JOIN_CONTEST,This is how you should *JOIN_CONTEST*
How can I join a Contest on PowerPlay11?,JOIN_CONTEST,This is how you should *JOIN_CONTEST*
Contest join ,JOIN_CONTEST,This is how you should *JOIN_CONTEST*
Joining contest,JOIN_CONTEST,This is how you should *JOIN_CONTEST*
Join contest,JOIN_CONTEST,This is how you should *JOIN_CONTEST*
Contest joining,JOIN_CONTEST,This is how you should *JOIN_CONTEST*
What are the ways to join contest,JOIN_CONTEST,This is how you should *JOIN_CONTEST*
Join a contest,JOIN_CONTEST,This is how you should *JOIN_CONTEST*
Withdrawal Time,WITHDRAWAL_TIME,This is the minimum *WITHDRAWAL_TIME*
How much time it takes to withdraw my amount,WITHDRAWAL_TIME,This is the minimum *WITHDRAWAL_TIME*
I didn't get my withdrawal amount yet,WITHDRAWAL_TIME,This is the minimum *WITHDRAWAL_TIME*
Withdrawal approved but not received money,WITHDRAWAL_TIME,This is the minimum *WITHDRAWAL_TIME*
My withdrawal not received,WITHDRAWAL_TIME,This is the minimum *WITHDRAWAL_TIME*
Min time to withdraw,WITHDRAWAL_TIME,This is the minimum *WITHDRAWAL_TIME*
Please transfer winnings fast,WITHDRAWAL_TIME,This is the minimum *WITHDRAWAL_TIME*
I havent received the winning amount,WITHDRAWAL_TIME,This is the minimum *WITHDRAWAL_TIME*
Withdrawal amount duration,WITHDRAWAL_TIME,This is the minimum *WITHDRAWAL_TIME*
When can I expect my withdrawal amount,WITHDRAWAL_TIME,This is the minimum *WITHDRAWAL_TIME*
Withdrawal amount not received,WITHDRAWAL_TIME,This is the minimum *WITHDRAWAL_TIME*
Withdrawals,WITHDRAWAL_INTRO,Here's the *WITHDRAWAL_LIMIT*
Minimum withdrawal limit,WITHDRAWAL_INTRO,Here's the *WITHDRAWAL_LIMIT*
What is the steps to withdraw amount,WITHDRAWAL_INTRO,Here's the *WITHDRAWAL_LIMIT*
Withdrawal steps,WITHDRAWAL_INTRO,Here's the *WITHDRAWAL_LIMIT*
Limit of withdrawal,WITHDRAWAL_INTRO,Here's the *WITHDRAWAL_LIMIT*
What are the steps to withdraw amount,WITHDRAWAL_INTRO,Here's the *WITHDRAWAL_LIMIT*
What are the steps to withdraw money,WITHDRAWAL_INTRO,Here's the *WITHDRAWAL_LIMIT*
Maximum withdrawal limit ,WITHDRAWAL_INTRO,Here's the *WITHDRAWAL_LIMIT*
Withdrawal limit,WITHDRAWAL_INTRO,Here's the *WITHDRAWAL_LIMIT*
How to withdraw amount,WITHDRAWAL_INTRO,Here's the *WITHDRAWAL_LIMIT*
How to withdraw money,WITHDRAWAL_INTRO,Here's the *WITHDRAWAL_LIMIT*
Minimum amount I can withdraw,WITHDRAWAL_INTRO,Here's the *WITHDRAWAL_LIMIT*
How much winning can I withdraw,WITHDRAWAL_INTRO,Here's the *WITHDRAWAL_LIMIT*
Where is my withdraw,WITHDRAWAL_INTRO,Here's the *WITHDRAWAL_LIMIT*
Details for Bank Account Verification,BANK_VERIFICATION_DETAILS,These are all the details required for *BANK_VERIFICATION*
What details I need to provide for bank account,BANK_VERIFICATION_DETAILS,These are all the details required for *BANK_VERIFICATION*
Wrong amount refund,REFUND_OF_WRONG_AMOUNT,Sure *REFUND_OF_WRONG_AMOUNT* will be processed soon
Amount added by mistake,REFUND_OF_WRONG_AMOUNT,Sure *REFUND_OF_WRONG_AMOUNT* will be processed soon
I added amount by mistake,REFUND_OF_WRONG_AMOUNT,Sure *REFUND_OF_WRONG_AMOUNT* will be processed soon
Wrong amount added refund please,REFUND_OF_WRONG_AMOUNT,Sure *REFUND_OF_WRONG_AMOUNT* will be processed soon
I added wrong amount and want refund,REFUND_OF_WRONG_AMOUNT,Sure *REFUND_OF_WRONG_AMOUNT* will be processed soon
Refund of Wrong Amount,REFUND_OF_WRONG_AMOUNT,Sure *REFUND_OF_WRONG_AMOUNT* will be processed soon
Refund of Added Cash,REFUND_OF_ADDED_CASH,*REFUND_OF_ADDED_CASH* will be in your account soon
Please refund money,REFUND_OF_ADDED_CASH,*REFUND_OF_ADDED_CASH* will be in your account soon
Not refunded,REFUND_OF_ADDED_CASH,*REFUND_OF_ADDED_CASH* will be in your account soon
Refund my cash,REFUND_OF_ADDED_CASH,*REFUND_OF_ADDED_CASH* will be in your account soon
How I can get refund of my cash,REFUND_OF_ADDED_CASH,*REFUND_OF_ADDED_CASH* will be in your account soon
Can I get the refund of my added cash,REFUND_OF_ADDED_CASH,*REFUND_OF_ADDED_CASH* will be in your account soon
I want my cash back,REFUND_OF_ADDED_CASH,*REFUND_OF_ADDED_CASH* will be in your account soon
Is my addded cash is refundable,REFUND_OF_ADDED_CASH,*REFUND_OF_ADDED_CASH* will be in your account soon
Chat With an Agent,CHAT_WITH_AN_AGENT,You will be able to *CHAT_WITH_AN_AGENT* who will answer your queries
Nope,CHAT_WITH_AN_AGENT,You will be able to *CHAT_WITH_AN_AGENT* who will answer your queries
"No, I couldn't find",CHAT_WITH_AN_AGENT,You will be able to *CHAT_WITH_AN_AGENT* who will answer your queries
No,CHAT_WITH_AN_AGENT,You will be able to *CHAT_WITH_AN_AGENT* who will answer your queries
Couldn't,CHAT_WITH_AN_AGENT,You will be able to *CHAT_WITH_AN_AGENT* who will answer your queries
Talk with an agent,CHAT_WITH_AN_AGENT,You will be able to *CHAT_WITH_AN_AGENT* who will answer your queries
Need to chat with an agent,CHAT_WITH_AN_AGENT,You will be able to *CHAT_WITH_AN_AGENT* who will answer your queries
Need to connect with an agent,CHAT_WITH_AN_AGENT,You will be able to *CHAT_WITH_AN_AGENT* who will answer your queries
Agent,CHAT_WITH_AN_AGENT,You will be able to *CHAT_WITH_AN_AGENT* who will answer your queries
Connect to agent,CHAT_WITH_AN_AGENT,You will be able to *CHAT_WITH_AN_AGENT* who will answer your queries
Talk to an agent,CHAT_WITH_AN_AGENT,You will be able to *CHAT_WITH_AN_AGENT* who will answer your queries
Need to talk to an agent,CHAT_WITH_AN_AGENT,You will be able to *CHAT_WITH_AN_AGENT* who will answer your queries
Connect with agent,CHAT_WITH_AN_AGENT,You will be able to *CHAT_WITH_AN_AGENT* who will answer your queries
Agent to chat,CHAT_WITH_AN_AGENT,You will be able to *CHAT_WITH_AN_AGENT* who will answer your queries
Didn't,CHAT_WITH_AN_AGENT,You will be able to *CHAT_WITH_AN_AGENT* who will answer your queries
Can I talk to you,CHAT_WITH_AN_AGENT,You will be able to *CHAT_WITH_AN_AGENT* who will answer your queries
My referral amount is incorrect,CHAT_WITH_AN_AGENT,You will be able to *CHAT_WITH_AN_AGENT* who will answer your queries
I can't see my withdrawal,CHAT_WITH_AN_AGENT,You will be able to *CHAT_WITH_AN_AGENT* who will answer your queries
My transaction is incorrect,CHAT_WITH_AN_AGENT,You will be able to *CHAT_WITH_AN_AGENT* who will answer your queries
My transaction is wrong,CHAT_WITH_AN_AGENT,You will be able to *CHAT_WITH_AN_AGENT* who will answer your queries
My deposit is incorrect,CHAT_WITH_AN_AGENT,You will be able to *CHAT_WITH_AN_AGENT* who will answer your queries
My deposit is wrong,CHAT_WITH_AN_AGENT,You will be able to *CHAT_WITH_AN_AGENT* who will answer your queries
I can't see my deposit,CHAT_WITH_AN_AGENT,You will be able to *CHAT_WITH_AN_AGENT* who will answer your queries
I can't see my transaction,CHAT_WITH_AN_AGENT,You will be able to *CHAT_WITH_AN_AGENT* who will answer your queries
My balance is wrong,CHAT_WITH_AN_AGENT,You will be able to *CHAT_WITH_AN_AGENT* who will answer your queries
My bonus is wrong,CHAT_WITH_AN_AGENT,You will be able to *CHAT_WITH_AN_AGENT* who will answer your queries
My winnings are wrong,CHAT_WITH_AN_AGENT,You will be able to *CHAT_WITH_AN_AGENT* who will answer your queries
My deposit is not visible,CHAT_WITH_AN_AGENT,You will be able to *CHAT_WITH_AN_AGENT* who will answer your queries
My deposit is not there,CHAT_WITH_AN_AGENT,You will be able to *CHAT_WITH_AN_AGENT* who will answer your queries
My sign up bonus is incorrect,CHAT_WITH_AN_AGENT,You will be able to *CHAT_WITH_AN_AGENT* who will answer your queries
My bonus is incorrect,CHAT_WITH_AN_AGENT,You will be able to *CHAT_WITH_AN_AGENT* who will answer your queries
My balance is incorrect,CHAT_WITH_AN_AGENT,You will be able to *CHAT_WITH_AN_AGENT* who will answer your queries
My winnings are incorrect,CHAT_WITH_AN_AGENT,You will be able to *CHAT_WITH_AN_AGENT* who will answer your queries
I am still waiting for my deposit money to get reflected in my wallet,CHAT_WITH_AN_AGENT,You will be able to *CHAT_WITH_AN_AGENT* who will answer your queries
It seems the wallet still not updated,CHAT_WITH_AN_AGENT,You will be able to *CHAT_WITH_AN_AGENT* who will answer your queries
My wallet showing wrong balance,CHAT_WITH_AN_AGENT,You will be able to *CHAT_WITH_AN_AGENT* who will answer your queries
I referred to one of my friend he got all necessary step done but then also it not showing in the referral,CHAT_WITH_AN_AGENT,You will be able to *CHAT_WITH_AN_AGENT* who will answer your queries
I am facing issue connect to agent,CHAT_WITH_AN_AGENT,You will be able to *CHAT_WITH_AN_AGENT* who will answer your queries
I ask a number of question to the bot but the query is not answered can you connect to Agent,CHAT_WITH_AN_AGENT,You will be able to *CHAT_WITH_AN_AGENT* who will answer your queries
Why it is showing wrong balance,CHAT_WITH_AN_AGENT,You will be able to *CHAT_WITH_AN_AGENT* who will answer your queries
I do not need chat agent,CHAT_WITH_AN_AGENT,You will be able to *CHAT_WITH_AN_AGENT* who will answer your queries
Did not receive my bonus,CHAT_WITH_AN_AGENT,You will be able to *CHAT_WITH_AN_AGENT* who will answer your queries
Did not receive my winnings,CHAT_WITH_AN_AGENT,You will be able to *CHAT_WITH_AN_AGENT* who will answer your queries
Did not receive my amount,CHAT_WITH_AN_AGENT,You will be able to *CHAT_WITH_AN_AGENT* who will answer your queries
Did not receive my sign up amount,CHAT_WITH_AN_AGENT,You will be able to *CHAT_WITH_AN_AGENT* who will answer your queries
Didn't receive money with my referrals,CHAT_WITH_AN_AGENT,You will be able to *CHAT_WITH_AN_AGENT* who will answer your queries
Winnings,WINNINGS,Here are your *WINNINGS*
Please give my winning money,WINNINGS,Here are your *WINNINGS*
I want money,WINNINGS,Here are your *WINNINGS*
Winning amount,WINNINGS,Here are your *WINNINGS*
Winning price,WINNINGS,Here are your *WINNINGS*
Winning amount cant add,WINNINGS,Here are your *WINNINGS*
My winnings,WINNINGS,Here are your *WINNINGS*
Instant Withdrawal,INSTANT_WITHDRAWAL,You will find *INSTANT_WITHDRAWAL* here
Instant withdrawal is available,INSTANT_WITHDRAWAL,You will find *INSTANT_WITHDRAWAL* here
When Instant withdrawal available,INSTANT_WITHDRAWAL,You will find *INSTANT_WITHDRAWAL* here
Instant withdrawal Not available,INSTANT_WITHDRAWAL,You will find *INSTANT_WITHDRAWAL* here
What is instant withdrawal,INSTANT_WITHDRAWAL,You will find *INSTANT_WITHDRAWAL* here
Instant withdrawal needed,INSTANT_WITHDRAWAL,You will find *INSTANT_WITHDRAWAL* here
Fast withdrawalIs there fast withdrawal,INSTANT_WITHDRAWAL,You will find *INSTANT_WITHDRAWAL* here
Is there instant withdrawal,INSTANT_WITHDRAWAL,You will find *INSTANT_WITHDRAWAL* here
Is instant withdrawal available,INSTANT_WITHDRAWAL,You will find *INSTANT_WITHDRAWAL* here
Fast withdrawal available,INSTANT_WITHDRAWAL,You will find *INSTANT_WITHDRAWAL* here
Check withdrawal status ,WITHDRAWAL_STATUS,Here it is. Your *WITHDRAWAL_STATUS*
I want to view my withdrawal status,WITHDRAWAL_STATUS,Here it is. Your *WITHDRAWAL_STATUS*
Show my withdrawal status,WITHDRAWAL_STATUS,Here it is. Your *WITHDRAWAL_STATUS*
List all the withdrawal ,WITHDRAWAL_STATUS,Here it is. Your *WITHDRAWAL_STATUS*
Withdrawal Status,WITHDRAWAL_STATUS,Here it is. Your *WITHDRAWAL_STATUS*
Withdrawal statements,WITHDRAWAL_STATUS,Here it is. Your *WITHDRAWAL_STATUS*
Withdrawal statement,WITHDRAWAL_STATUS,Here it is. Your *WITHDRAWAL_STATUS*
I have withdrawn some money four days back from the wallet how do I check the amount I have withdrawn,WITHDRAWAL_STATUS,Here it is. Your *WITHDRAWAL_STATUS*
Check Earlier withdrawal,WITHDRAWAL_STATUS,Here it is. Your *WITHDRAWAL_STATUS*
Withdrawn status for my account,WITHDRAWAL_STATUS,Here it is. Your *WITHDRAWAL_STATUS*
Status of withdrawal,WITHDRAWAL_STATUS,Here it is. Your *WITHDRAWAL_STATUS*
I want to check my withdrawal status,WITHDRAWAL_STATUS,Here it is. Your *WITHDRAWAL_STATUS*
Open withdrawal status,WITHDRAWAL_STATUS,Here it is. Your *WITHDRAWAL_STATUS*
My status was not updated can you show me the withdrawal status now,WITHDRAWAL_STATUS,Here it is. Your *WITHDRAWAL_STATUS*
Since last year I did not played any game on this however I have 2000 balance in my account now it is showing 998 would you show me the withdrawal transactions,WITHDRAWAL_STATUS,Here it is. Your *WITHDRAWAL_STATUS*
I was travelling I dont have cash I need to withdraw some money from app would you tell me withdrawal status,WITHDRAWAL_STATUS,Here it is. Your *WITHDRAWAL_STATUS*
PAN Card verification failed ,PAN_VERIFICATION_FAILED,Don't worry if your *PAN_VERIFICATION_FAILED*
PAN verification failed,PAN_VERIFICATION_FAILED,Don't worry if your *PAN_VERIFICATION_FAILED*
Getting error while verifying PAN Card,PAN_VERIFICATION_FAILED,Don't worry if your *PAN_VERIFICATION_FAILED*
How Are Points Calculated on PowerPlay11,HOW_POINTS_CALCULATED,This is *HOW_POINTS_CALCULATED* itself
Change My Bank Account,CHANGE_BANK_ACCOUNT,Steps to *CHANGE_BANK_ACCOUNT*
How to change Bank account,CHANGE_BANK_ACCOUNT,Steps to *CHANGE_BANK_ACCOUNT*
Change My Profile or Team Details,CHANGE_PROFILE_TEAM_DETAILS,Here's a guide to *CHANGE_PROFILE_TEAM_DETAILS*
Update My Profile/Team Details,CHANGE_PROFILE_TEAM_DETAILS,Here's a guide to *CHANGE_PROFILE_TEAM_DETAILS*
Update My Profile,CHANGE_PROFILE_TEAM_DETAILS,Here's a guide to *CHANGE_PROFILE_TEAM_DETAILS*
Update my Team Details,CHANGE_PROFILE_TEAM_DETAILS,Here's a guide to *CHANGE_PROFILE_TEAM_DETAILS*
Change profile name,CHANGE_PROFILE_TEAM_DETAILS,Here's a guide to *CHANGE_PROFILE_TEAM_DETAILS*
How to change profile name?,CHANGE_PROFILE_TEAM_DETAILS,Here's a guide to *CHANGE_PROFILE_TEAM_DETAILS*
Can I change my profile name,CHANGE_PROFILE_TEAM_DETAILS,Here's a guide to *CHANGE_PROFILE_TEAM_DETAILS*
Change My Team,CHANGE_PROFILE_TEAM_DETAILS,Here's a guide to *CHANGE_PROFILE_TEAM_DETAILS*
Can I Change my team name on PowerPlay11?,CHANGE_PROFILE_TEAM_DETAILS,Here's a guide to *CHANGE_PROFILE_TEAM_DETAILS*
How can I change my team name,CHANGE_PROFILE_TEAM_DETAILS,Here's a guide to *CHANGE_PROFILE_TEAM_DETAILS*
Change team name,CHANGE_PROFILE_TEAM_DETAILS,Here's a guide to *CHANGE_PROFILE_TEAM_DETAILS*
Edit team name,CHANGE_PROFILE_TEAM_DETAILS,Here's a guide to *CHANGE_PROFILE_TEAM_DETAILS*
Modify mobile number,CHANGE_MOBILE_NUMBER,This is how you should *CHANGE_MOBILE_NUMBER*
Change phone number,CHANGE_MOBILE_NUMBER,This is how you should *CHANGE_MOBILE_NUMBER*
Change mobile number,CHANGE_MOBILE_NUMBER,This is how you should *CHANGE_MOBILE_NUMBER*
Edit mobile number,CHANGE_MOBILE_NUMBER,This is how you should *CHANGE_MOBILE_NUMBER*
My mobile no. change,CHANGE_MOBILE_NUMBER,This is how you should *CHANGE_MOBILE_NUMBER*
Help me to change mobile number,CHANGE_MOBILE_NUMBER,This is how you should *CHANGE_MOBILE_NUMBER*
Help me to edit my mobile number,CHANGE_MOBILE_NUMBER,This is how you should *CHANGE_MOBILE_NUMBER*
Help me with changing my mobile number,CHANGE_MOBILE_NUMBER,This is how you should *CHANGE_MOBILE_NUMBER*
I want to change my number,CHANGE_MOBILE_NUMBER,This is how you should *CHANGE_MOBILE_NUMBER*
How can I Change my mobile number,CHANGE_MOBILE_NUMBER,This is how you should *CHANGE_MOBILE_NUMBER*
Taxes on Winnings,TAXES_ON_WINNINGS,*TAXES_ON_WINNINGS* are calculated this way
Are there any taxes associated with withdrawals,TAXES_ON_WINNINGS,*TAXES_ON_WINNINGS* are calculated this way
Tax deduction,TAXES_ON_WINNINGS,*TAXES_ON_WINNINGS* are calculated this way
How much tax will be deducted,TAXES_ON_WINNINGS,*TAXES_ON_WINNINGS* are calculated this way
How much tax to pay,TAXES_ON_WINNINGS,*TAXES_ON_WINNINGS* are calculated this way
Am I supposed to pay tax,TAXES_ON_WINNINGS,*TAXES_ON_WINNINGS* are calculated this way
Tax on winning,TAXES_ON_WINNINGS,*TAXES_ON_WINNINGS* are calculated this way
Do I need to pay tax for winning,TAXES_ON_WINNINGS,*TAXES_ON_WINNINGS* are calculated this way
Liable tax,TAXES_ON_WINNINGS,*TAXES_ON_WINNINGS* are calculated this way
When Are the Winnings Distributed on PowerPlay11,WHEN_WINNINGS_DISTRIBUTED,"*WHEN_WINNINGS_DISTRIBUTED*, you will be notified here"
Winnings amount not credited,WHEN_WINNINGS_DISTRIBUTED,"*WHEN_WINNINGS_DISTRIBUTED*, you will be notified here"
When will I get the winning amount,WHEN_WINNINGS_DISTRIBUTED,"*WHEN_WINNINGS_DISTRIBUTED*, you will be notified here"
Why is my amount not credited,WHEN_WINNINGS_DISTRIBUTED,"*WHEN_WINNINGS_DISTRIBUTED*, you will be notified here"
When will I receiev my winning amount,WHEN_WINNINGS_DISTRIBUTED,"*WHEN_WINNINGS_DISTRIBUTED*, you will be notified here"
Fake teams,FAKE_TEAMS,No no! We aren't *FAKE_TEAMS*
You have your own team in the leagues,FAKE_TEAMS,No no! We aren't *FAKE_TEAMS*
Fake players,FAKE_TEAMS,No no! We aren't *FAKE_TEAMS*
Fraud,FAKE_TEAMS,No no! We aren't *FAKE_TEAMS*
Fake users,FAKE_TEAMS,No no! We aren't *FAKE_TEAMS*
Not genuine,FAKE_TEAMS,No no! We aren't *FAKE_TEAMS*
Cheating,FAKE_TEAMS,No no! We aren't *FAKE_TEAMS*
You have your own teams in matches/leagues ,FAKE_TEAMS,No no! We aren't *FAKE_TEAMS*
Why leagues get full in the last moment ,FAKE_TEAMS,No no! We aren't *FAKE_TEAMS*
Office Own team,FAKE_TEAMS,No no! We aren't *FAKE_TEAMS*
Fraud team,FAKE_TEAMS,No no! We aren't *FAKE_TEAMS*
Why in last 2-3 minutes leagues get full,FAKE_TEAMS,No no! We aren't *FAKE_TEAMS*
Why I haven't received any email confirmation link,NO_EMAIL_CONFIRMATION,We will assist you if *NO_EMAIL_CONFIRMATION* was sent
No Email Confirmation,NO_EMAIL_CONFIRMATION,We will assist you if *NO_EMAIL_CONFIRMATION* was sent
Why I haven't received any email confirmation link,NO_EMAIL_CONFIRMATION,We will assist you if *NO_EMAIL_CONFIRMATION* was sent
When will I receive email confirmation,NO_EMAIL_CONFIRMATION,We will assist you if *NO_EMAIL_CONFIRMATION* was sent
No Email Confirmation,NO_EMAIL_CONFIRMATION,We will assist you if *NO_EMAIL_CONFIRMATION* was sent
Didn't get email confirmation,NO_EMAIL_CONFIRMATION,We will assist you if *NO_EMAIL_CONFIRMATION* was sent
Withdraw Cash Bonus,WITHDRAW_CASH_BONUS,Steps to *WITHDRAW_CASH_BONUS*
Cash Bonus Expiry,CASH_BONUS_EXPIRY,We will tell you about your *CASH_BONUS_EXPIRY*
Cash Bonus,CASH_BONUS,Do check your *CASH_BONUS*
Types of Bonus,TYPES_BONUS,Here are the *TYPES_BONUS*
What is the difference between sign-up bonus and cash bonus,TYPES_BONUS,Here are the *TYPES_BONUS*
"What is difference between Cash Bonus, signup bonus, surprise bonus, winnings",TYPES_BONUS,Here are the *TYPES_BONUS*
Daily Bonus,TYPES_BONUS,Here are the *TYPES_BONUS*
Surprise bonus,TYPES_BONUS,Here are the *TYPES_BONUS*
I want to know about bonus,TYPES_BONUS,Here are the *TYPES_BONUS*
What is the deadline for a match on PowerPlay11?,TEAM_DEADLINE,Here you will find your answers to *TEAM_DEADLINE*
Team Deadline for Match,TEAM_DEADLINE,Here you will find your answers to *TEAM_DEADLINE*
What is Safe Play & Regular Play,TEAM_DEADLINE,Here you will find your answers to *TEAM_DEADLINE*
Difference between safe play and regular play,TEAM_DEADLINE,Here you will find your answers to *TEAM_DEADLINE*
Regular Play,TEAM_DEADLINE,Here you will find your answers to *TEAM_DEADLINE*
What is safe play,TEAM_DEADLINE,Here you will find your answers to *TEAM_DEADLINE*
How many playing mode,TEAM_DEADLINE,Here you will find your answers to *TEAM_DEADLINE*
Safe Play,TEAM_DEADLINE,Here you will find your answers to *TEAM_DEADLINE*
Playing Mode,TEAM_DEADLINE,Here you will find your answers to *TEAM_DEADLINE*
Benefit of safe play,TEAM_DEADLINE,Here you will find your answers to *TEAM_DEADLINE*
What is the regular play,TEAM_DEADLINE,Here you will find your answers to *TEAM_DEADLINE*
match deadline,TEAM_DEADLINE,Here you will find your answers to *TEAM_DEADLINE*
What is the deadline of Safe play ,TEAM_DEADLINE,Here you will find your answers to *TEAM_DEADLINE*
Safe mode editing ,TEAM_DEADLINE,Here you will find your answers to *TEAM_DEADLINE*
What is the deadline to edit team in safe play ,TEAM_DEADLINE,Here you will find your answers to *TEAM_DEADLINE*
Can I edit team in safe play,TEAM_DEADLINE,Here you will find your answers to *TEAM_DEADLINE*
Edit safe play,TEAM_DEADLINE,Here you will find your answers to *TEAM_DEADLINE*
Account Not Verified,ACCOUNT_NOT_VERIFIED,Simple steps if your *ACCOUNT_NOT_VERIFIED*
How to Verify my Account?,ACCOUNT_NOT_VERIFIED,Simple steps if your *ACCOUNT_NOT_VERIFIED*
Account Verification,ACCOUNT_NOT_VERIFIED,Simple steps if your *ACCOUNT_NOT_VERIFIED*
How to Get Account Verified,ACCOUNT_NOT_VERIFIED,Simple steps if your *ACCOUNT_NOT_VERIFIED*
I am unable to verify my account,ACCOUNT_NOT_VERIFIED,Simple steps if your *ACCOUNT_NOT_VERIFIED*
Verify my account,ACCOUNT_NOT_VERIFIED,Simple steps if your *ACCOUNT_NOT_VERIFIED*
Verify account,ACCOUNT_NOT_VERIFIED,Simple steps if your *ACCOUNT_NOT_VERIFIED*
 Need to Verify my account,ACCOUNT_NOT_VERIFIED,Simple steps if your *ACCOUNT_NOT_VERIFIED*
Why do I Need to Verify my Account,WHY_VERIFY,*WHY_VERIFY?* Because it is a mandatory process
Why do I need to Verify,WHY_VERIFY,*WHY_VERIFY?* Because it is a mandatory process
Is it important to verify my account,WHY_VERIFY,*WHY_VERIFY?* Because it is a mandatory process
Why should I verify,WHY_VERIFY,*WHY_VERIFY?* Because it is a mandatory process
What is the use of account verification,WHY_VERIFY,*WHY_VERIFY?* Because it is a mandatory process
Do I need to verify my account,WHY_VERIFY,*WHY_VERIFY?* Because it is a mandatory process
Why to Verify Account?,WHY_VERIFY,*WHY_VERIFY?* Because it is a mandatory process
Contests,TYPES_CONTESTS,Here you will find *TYPES_CONTESTS*
Types of Contests,TYPES_CONTESTS,Here you will find *TYPES_CONTESTS*
How to Verify my email address,VERIFY_EMAIL,Simple ways to *VERIFY_EMAIL*
Verify Email,VERIFY_EMAIL,Simple ways to *VERIFY_EMAIL*
How to verify email,VERIFY_EMAIL,Simple ways to *VERIFY_EMAIL*
How to verify email ID,VERIFY_EMAIL,Simple ways to *VERIFY_EMAIL*
Verify my email address,VERIFY_EMAIL,Simple ways to *VERIFY_EMAIL*
